tweet_id,timestamp,source,rating_numerator,name,isdog,dogbreed,p_value,favorite_count,retweet_count,expanded_urls
670474236058800128,2015-11-28 05:28:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,False,Wool,0.070076,1536,776,https://twitter.com/dog_rates/status/670474236058800128/photo/1
670468609693655041,2015-11-28 05:05:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Edd,False,Minivan,0.730152,355,86,https://twitter.com/dog_rates/status/670468609693655041/photo/1
670465786746662913,2015-11-28 04:54:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,None,False,Axolotl,0.611558,978,564,https://twitter.com/dog_rates/status/670465786746662913/photo/1
670452855871037440,2015-11-28 04:03:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,None,False,Arctic_fox,0.188174,554,210,https://twitter.com/dog_rates/status/670452855871037440/photo/1
670449342516494336,2015-11-28 03:49:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,None,False,Peacock,0.999924,1204,677,https://twitter.com/dog_rates/status/670449342516494336/photo/1
670444955656130560,2015-11-28 03:31:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Paull,True,English_springer,0.403698,6784,2021,https://twitter.com/dog_rates/status/670444955656130560/photo/1
670442337873600512,2015-11-28 03:21:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Koda,True,Sussex_spaniel,0.403552,647,202,https://twitter.com/dog_rates/status/670442337873600512/photo/1
670435821946826752,2015-11-28 02:55:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,False,Sorrel,0.46037,1063,527,https://twitter.com/dog_rates/status/670435821946826752/photo/1
670434127938719744,2015-11-28 02:48:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Hank,False,Jack-o'-lantern,0.91914,1414,659,https://twitter.com/dog_rates/status/670434127938719744/photo/1
670433248821026816,2015-11-28 02:45:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Sam,False,Window_shade,0.583427,330,114,https://twitter.com/dog_rates/status/670433248821026816/photo/1
670428280563085312,2015-11-28 02:25:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Willy,True,Chow,0.335269,1394,639,https://twitter.com/dog_rates/status/670428280563085312/photo/1
670427002554466305,2015-11-28 02:20:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,None,False,Seat_belt,0.952258,523,167,https://twitter.com/dog_rates/status/670427002554466305/photo/1
670421925039075328,2015-11-28 02:00:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12,Herb,True,Chihuahua,0.275793,1316,645,https://twitter.com/dog_rates/status/670421925039075328/photo/1
670420569653809152,2015-11-28 01:54:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Damon,False,Bow_tie,0.268759,632,321,https://twitter.com/dog_rates/status/670420569653809152/photo/1
670417414769758208,2015-11-28 01:42:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,None,False,Sea_urchin,0.493257,573,322,https://twitter.com/dog_rates/status/670417414769758208/photo/1
670411370698022913,2015-11-28 01:18:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12,Scooter,True,Maltese_dog,0.584397,2037,916,https://twitter.com/dog_rates/status/670411370698022913/photo/1
670408998013820928,2015-11-28 01:08:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Peanut,False,Ping-pong_ball,0.999945,561,229,https://twitter.com/dog_rates/status/670408998013820928/photo/1
670403879788544000,2015-11-28 00:48:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Nigel,True,Pug,0.8022229999999999,436,161,https://twitter.com/dog_rates/status/670403879788544000/photo/1
670385711116361728,2015-11-27 23:36:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,Larry,True,Whippet,0.178027,564,216,https://twitter.com/dog_rates/status/670385711116361728/photo/1
670374371102445568,2015-11-27 22:51:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12,Daisy,True,English_springer,0.974936,749,275,https://twitter.com/dog_rates/status/670374371102445568/photo/1
670361874861563904,2015-11-27 22:01:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,None,False,Platypus,0.974075,329,69,https://twitter.com/dog_rates/status/670361874861563904/photo/1
